06-05-100-0031758,Air,Teq,0.000206,1,kg,2009
06-05-100-0238246,Air,Teq,0.000206,1,kg,2009
06-05-100-0031758,Air,Teq,0.000212,1,kg,2008
06-02-B2C100A009,Air,Teq,0.00021600000000000002,1,kg,2007
06-05-100-0031758,Air,Teq,0.000217,1,kg,2011
03-03-03030273580,Water,Teq,0.000218,1,kg,2011
06-05-100-0238246,Air,Teq,0.000221,1,kg,2010
07-05-8290552,Air,Teq,0.000221,1,kg,2009
06-05-100-0006538,Air,Teq,0.00022200000000000003,1,kg,2012
06-00464010412,Air,Teq,0.000223,1,kg,2008
03-10-10285005160,Air,Teq,0.00022799999999999999,1,kg,2008
06-05-112-0458158,Air,Teq,0.000229,1,kg,2009
06-05-100-0006538,Air,Teq,0.00022999999999999998,1,kg,2009
03-01-01244136460,Air,Teq,0.00022999999999999998,1,kg,2007
03-01-01244136460,Air,Teq,0.00022999999999999998,1,kg,2008
06-09-575-0020-0001,Air,Teq,0.00022999999999999998,1,kg,2014
07-01-159368,Air,Teq,0.000233,1,kg,2008
07-01-159368,Air,Teq,0.00023500000000000002,1,kg,2009
07-01-159368,Air,Teq,0.00023500000000000002,1,kg,2010
06-09-575-0020-0001,Air,Teq,0.00023999999999999998,1,kg,2013
03-10-10285005160,Air,Teq,0.00023999999999999998,1,kg,2010
06-09-575-0020-0001,Air,Teq,0.000259,1,kg,2012
06-05-100-0006538,Air,Teq,0.000259,1,kg,2008
03-03-03030273580,Water,Teq,0.000263,1,kg,2008
06-05-100-0209697,Air,Teq,0.000264,1,kg,2012
06-05-100-0209697,Air,Teq,0.000272,1,kg,2013
06-05-100-0209707,Air,Teq,0.00028,1,kg,2010
06-05-100-0209707,Air,Teq,0.00028700000000000004,1,kg,2009
06-10-0078669,Air,Teq,0.000288,1,kg,2013
06-05-100-0031758,Air,Teq,0.0003,1,kg,2013
06-09-171-0300-0T01,Air,Teq,0.0003,1,kg,2008
03-01-01244136460,Air,Teq,0.0003,1,kg,2015
06-05-100-0031758,Air,Teq,0.0003,1,kg,2014
06-09-171-0300-0T01,Air,Teq,0.0003,1,kg,2009
06-09-171-0300-0T01,Air,Teq,0.0003,1,kg,2007
03-10-10285005160,Air,Teq,0.0003,1,kg,2007
