06-08-9840001,GuD Anlage WVK,Baden-Württemberg,Erdgas,Ja,1998,1998,40.0,in Betrieb,1,Rhodia Acetow GmbH
14-70-52316700250,EVC / GLOBALFOUNDRIES,Sachsen,Erdgas,Ja,1998,1998,34.3,in Betrieb,1,Energieversorgungscenter Dresden-Wilschdorf GmbH & Co. KG
13-50-138,GuD-HKW Neubrandenburg,Mecklenburg-Vorpommern,Erdgas,Ja,1997,1997,75.0,in Betrieb,1,Neubrandenburger Stadtwerke GmbH
12-40716440000,Schwarze Pumpe,Brandenburg,Braunkohle,Ja,1998,1997,1500.0,in Betrieb,2,Lausitz Energie Kraftwerke AG
12-30532000000,Heizkraftwerk FFO,Brandenburg,Braunkohle,Ja,1997,1997,45.0,in Betrieb,1,Stadtwerke Frankfurt (Oder) GmbH
06-11-01-1105503,Mitte,Berlin,Erdgas,Ja,1996,1996,444.0,in Betrieb,1,Vattenfall GmbH
18042,Zielitz,Sachsen-Anhalt,Erdgas,Ja,1996,1996,27.0,in Betrieb,1,K+S AG
06-05-900-0235121,Egger Kraftwerk Brilon,Nordrhein-Westfalen,Erdgas,Ja,1996,1996,13.5,in Betrieb,1,Egger Holzwerkstoffe Brilon GmbH & Co. KG
06-05-300-0215520,Gasturbine,Nordrhein-Westfalen,Erdgas,Ja,1996,1996,51.9,in Betrieb,1,Basell Polyolefine GmbH
16-30-31400103005,Heizkraftwerk Gera-Nord,Thüringen,Erdgas,Ja,1996,1996,74.0,in Betrieb,1,Energieversorgung Gera GmbH
12110,Kraftwerk Dessau,Sachsen-Anhalt,Braunkohle,Ja,1996,1996,49.0,in Betrieb,1,Kraftwerk Dessau GmbH
12358,Schkopau,Sachsen-Anhalt,Braunkohle,Ja,1996,1996,900.0,in Betrieb,2,Uniper SE
06-05-100-0990908,HKW 2,Nordrhein-Westfalen,Erdgas,Ja,1996,1996,24.5,in Betrieb,1,Energieversorgung Oberhausen AG
03-10-10257401440,BP Werk Lingen,Niedersachsen,Erdgas,Ja,1996,1996,66.0,in Betrieb,1,BP Europa SE
14-30-55047380000,Heizkraftwerk Leipzig-Nord,Sachsen,Erdgas,Ja,1996,1996,167.0,in Betrieb,1,Stadtwerke Leipzig GmbH
13-30-2102110,GuD Marienehe,Mecklenburg-Vorpommern,Erdgas,Ja,1996,1996,108.0,in Betrieb,1,Stadtwerke Rostock AG
16-62-09401231000,Unterbreizbach,Thüringen,Erdgas,Ja,1995,1995,20.0,in Betrieb,1,K+S AG
06-05-300-0181417,Kraftwerk,Nordrhein-Westfalen,Braunkohle,Ja,1995,1995,23.0,in Betrieb,3,Martinswerk GmbH
06-05-100-0387357,INEOS Kraftwerk,Nordrhein-Westfalen,Erdgas,Ja,1995,1995,24.0,in Betrieb,1,INEOS Solvents Germany GmbH
12-60510410000,Kirchmöser,Brandenburg,Erdgas,Nein,1994,1994,160.0,in Betrieb,1,Uniper SE
13770,ILK-GuD,Sachsen-Anhalt,Erdgas,Ja,1998,1994,146.0,in Betrieb,4,InfraLeuna GmbH
15397,Werk Klein Wanzleben,Sachsen-Anhalt,Erdgas,Nein,1994,1994,23.4,Sonderfall,1,Nordzucker AG
18040,Wählitz,Sachsen-Anhalt,Braunkohle,Ja,1994,1994,31.0,in Betrieb,1,Mitteldeutsche Braunkohlengesellschaft mbH
16591,Industriekraftwerk Bernburg (IKB),Sachsen-Anhalt,Erdgas,Ja,1994,1994,140.5,in Betrieb,1,Solvay Chemicals GmbH
13-40-1300408,HKW Schwerin Süd,Mecklenburg-Vorpommern,Erdgas,Ja,1994,1994,44.9,in Betrieb,1,Energieversorgung Schwerin GmbH & Co. Erzeugung KG
06-05-300-0054298,HKW Südstadt,Nordrhein-Westfalen,Erdgas,Ja,1994,1994,35.0,stillgelegt,1,RheinEnergie AG
12-40669070000,GuD Schwarzheide,Brandenburg,Erdgas,Ja,1994,1994,122.0,in Betrieb,1,BASF Schwarzheide GmbH
13-30-1010101,KNG Kraftwerk Rostock,Mecklenburg-Vorpommern,Steinkohle,Ja,1994,1994,514.0,in Betrieb,1,EnBW AG
06-02-B28903H003,Heizkraftwerk,Hamburg,Erdgas,Ja,1993,1993,22.5,in Betrieb,1,ADM Hamburg Aktiengesellschaft
06-02-B10117A007,GuD Tiefstack,Hamburg,Steinkohle,Ja,2009,1993,321.0,in Betrieb,2,Vattenfall GmbH
16873,EZ1,Sachsen-Anhalt,Braunkohle,Ja,1993,1993,23.3,in Betrieb,1,"Südzucker AG, Werk Zeitz"
14-30-56918040000,Kombikraftwerk,Sachsen,Erdgas,Ja,1993,1993,46.6,in Betrieb,1,Stora Enso Sachsen GmbH
06-05-800-0203946,Goldenberg,Nordrhein-Westfalen,Braunkohle,Ja,1993,1992,85.0,Sonderfall,3,RWE AG
06-08-1383701,Heizkraftwerk Magirusstraße,Baden-Württemberg,Steinkohle,Ja,1992,1992,20.7,in Betrieb,1,Fernwärme Ulm GmbH
07-05-8290552,Kraftwerk Süd,Rheinland-Pfalz,Erdgas,Ja,2005,1992,954.5,in Betrieb,3,BASF SE
06-05-100-0030723,HKW Elberfeld ,Nordrhein-Westfalen,Steinkohle,Ja,1992,1992,85.0,stillgelegt,1,WSW Energie & Wasser AG
07-04-6048443,Co-Generation,Rheinland-Pfalz,Erdgas,Ja,1991,1991,11.5,in Betrieb,1,Grace GmbH
06-09-100-0088-0001,Nord 2,Bayern,Steinkohle,Ja,1991,1991,332.7,in Betrieb,1,SWM Services GmbH
GAS-0002,Ahrensfelde,Brandenburg,Erdgas,Nein,1990,1990,150.0,vorläufig stillgelegt,4,Lausitz Energie Kraftwerke AG
06-00059010413,Heizkraftwerk Offenbach,Hessen,Steinkohle,Ja,1990,1990,54.0,in Betrieb,1,Energieversorgung Offenbach AG
06-11-01-1105604,Moabit,Berlin,Steinkohle,Ja,1989,1989,89.0,in Betrieb,1,Vattenfall GmbH
03-06-06060316030,GKH,Niedersachsen,Steinkohle,Ja,1989,1989,272.0,in Betrieb,2,enercity AG
06-10-0020157,HKW Römerbrücke,Saarland,Steinkohle,Ja,2012,1989,125.0,in Betrieb,2,Energie SaarLorLux AG
06-00453010412,Heizkraftwerk,Hessen,Steinkohle,Ja,2012,1989,248.5,in Betrieb,3,Infraserv GmbH & Co. Höchst KG
07-05-8030815,HKW Karcherstr.,Rheinland-Pfalz,Steinkohle,Ja,1996,1989,25.0,in Betrieb,2,"SWK Stadtwerke Kaiserslautern, Versorgungs-AG"
06-00464010412,HKW West,Hessen,Steinkohle,Ja,1989,1988,123.0,in Betrieb,2,Mainova AG
14-60-48821410003,HKW Chemnitz  Nord II,Sachsen,Braunkohle,Ja,1990,1988,147.6,in Betrieb,2,eins - energie in sachsen GmbH & Co. KG
06-14600010611,FKK,Hessen,Braunkohle,Ja,1989,1988,83.5,in Betrieb,2,Städtische Werke Energie + Wärme GmbH
06-05-700-0105516,Heyden,Nordrhein-Westfalen,Steinkohle,Nein,1987,1987,875.0,in Betrieb,1,Uniper SE
06-11-01-1105609,Reuter West,Berlin,Steinkohle,Ja,1988,1987,564.0,in Betrieb,2,Vattenfall GmbH
14-20-48821410003,HKW Chemnitz  Nord II,Sachsen,Erdgas,Ja,1986,1986,57.2,vorläufig stillgelegt,1,eins - energie in sachsen GmbH & Co. KG
06-08-4124448,,Baden-Württemberg,Steinkohle,Ja,1986,1986,18.5,in Betrieb,1,Koehler SE
06-05-100-0031758,HKW I,Nordrhein-Westfalen,Steinkohle,Ja,1985,1985,95.0,stillgelegt,1,Stadtwerke Duisburg AG
03-01-01241117210,HKW Nord,Niedersachsen,Steinkohle,Ja,2014,1985,410.4,in Betrieb,5,Volkswagen AG
06-09-100-0003-0003,Zolling,Bayern,Steinkohle,Ja,1985,1985,472.0,in Betrieb,1,ENGIE Deutschland AG
