06-09-661-0020-0001,BNA1337e,Bayern,Erdgas,2013,Ja,GuD-Anlage,47.0,in Betrieb,,DS Smith Paper Deutschland GmbH
06-26200010633,BNA0059b,Hessen,Erdgas,2013,Ja,"GuD Baunatal, VW Werksgelände",78.0,in Betrieb,,Volkswagen AG
06-05-100-0365906,BNA0216b,Nordrhein-Westfalen,Steinkohle,2013,Ja,KW Walsum,725.0,in Betrieb,,STEAG-EVN Walsum 10 Kraftwerksgesellsellschaft mbH
06-05-300-0838652,BNA0117b,Nordrhein-Westfalen,Erdgas,2013,Ja,Heizkraftwerk Karlstraße,95.0,in Betrieb,,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH
06-05-900-9141660,BNA1508,Nordrhein-Westfalen,Steinkohle,2013,Ja,Trianel Kohlekraftwerk Lünen,735.0,in Betrieb,,Trianel Kohlekraftwerk Lünen GmbH & Co. KG
06-09-100-0020-0001,BNA0842b,Bayern,Erdgas,2013,Ja,Gasmotor 4,9.2,in Betrieb,,Stadtwerke Rosenheim GmbH & Co. KG
,BNA1503,Nordrhein-Westfalen,Erdgas,2012,Ja,BHKW H.120,21.1,in Betrieb,,Daimler AG
03-03-03267770260,BNA1437,Niedersachsen,Erdgas,2012,Ja,KWK AOS GmbH,30.7,in Betrieb,,Aluminium Oxid Stade GmbH
06-05-100-0248923,BNA1401a,Nordrhein-Westfalen,Braunkohle,2012,Nein,BoA 2,1060.0,in Betrieb,,RWE AG
06-05-100-0248923,BNA1401b,Nordrhein-Westfalen,Braunkohle,2012,Nein,BoA 3,1060.0,in Betrieb,,RWE AG
06-00453010412,BNA0497,Hessen,Erdgas,2012,Ja,ADS-Anlage,96.5,in Betrieb,,Infraserv GmbH & Co. Höchst KG
,BNA0843,Bayern,Erdgas,2012,Ja,Gasmotor 5,4.3,in Betrieb,,Stadtwerke Rosenheim GmbH & Co. KG
,BNA1464,Saarland,Erdgas,2012,ja,Gas- u. Dampfturbinenanlage Südraum,38.6,in Betrieb,,ZF Friedrichshafen AG
14-70-46630660001,BNA1404,Sachsen,Braunkohle,2012,Nein,Boxberg,640.0,in Betrieb,,Lausitz Energie Kraftwerke AG
06-76400010631,BNA1492b,Hessen,Erdgas,2012,Ja,Kraftwerk 2,8.0,in Betrieb,,Papierfabrik Adolf Jass Schwarza GmbH
03-10-10257673950,BNA0602,Niedersachsen,Erdgas,2011,Ja,Emsland,116.0,in Betrieb,,RWE AG
06-10-0075248,BNA0252,Saarland,Steinkohle,2011,Nein,Kraftwerk Ensdorf,283.0,in Betrieb,,Gemeinschaft nach Bruchteilen der Saarstahl AG (SAG) und Saarschmiede GmbH Freiformschmiede (SSF)
,BNA1131,Nordrhein-Westfalen,Erdgas,2011,Nein,"MT, Düren",14.0,in Betrieb,,Metsä Tissue GmbH (Werk Düren)
,BNA1861,Bayern,Erdgas,2011,Ja,Regensburg,10.5,in Betrieb,,BMW AG
06-09-100-0020-0001,BNA0842a,Bayern,Erdgas,2011,Ja,Gasmotore,9.8,in Betrieb,,Stadtwerke Rosenheim GmbH & Co. KG
06-09-100-0001-0002,BNA0995,Bayern,Erdgas,2011,Nein,"Ulrich Hartmann
(Irsching)",561.0,Netzreserve,,Uniper SE
03-10-10257673950,BNA0603,Niedersachsen,Erdgas,2011,Ja,Emsland,116.0,in Betrieb,,RWE AG
,BNA0832,Baden-Württemberg,Erdgas,2011,Ja,BHKW-Hauffstraße,9.8,in Betrieb,,FairEnergie GmbH
06-09-100-0001-0002,BNA0994,Bayern,Erdgas,2010,Nein,Gemeinschaftskraftwerk Irsching ,846.0,Netzreserve,,Uniper SE
,BNA0136,Niedersachsen,Erdgas,2010,Ja,HKW-Mitte,74.0,in Betrieb,,Braunschweiger Versorgungs-AG & Co. KG
06-05-300-0923949,BNA0543,Nordrhein-Westfalen,Braunkohle,2010,Ja,HKW Merkenich,75.3,in Betrieb,,RheinEnergie AG
06-09-271-0260-0001,BNA0805,Bayern,Erdgas,2010,Ja,Kraftwerk Plattling,97.9,in Betrieb,,Daimler AG
03-10-10257673950,BNA0606,Niedersachsen,Erdgas,2010,Ja,Emsland,887.0,in Betrieb,,RWE AG
,BNA0011,Baden-Württemberg,Steinkohle,2009,Ja,Papierfabrik Albbruck,28.0,stillgelegt,2012,Papierfabrik Albbruck GmbH
,BNA0913,Sachsen,Erdgas,2009,Nein,GuD Anlage Spreetal,50.0,stillgelegt,2012,Alpiq Spreetal GmbH
06-08-1371304,BNA0934,Baden-Württemberg,Steinkohle,2009,Ja,Heizkraftwerk Stuttgart-Gaisburg,22.6,in Betrieb,,EnBW AG
06-09-600-0025-0001,BNA1087,Bayern,Erdgas,2009,Ja,Heizkraftwerke an der Friedensbrücke,29.5,in Betrieb,,Heizkraftwerk Würzburg GmbH
06-02-B10117A007,BNA0400,Hamburg,Erdgas,2009,Ja,GuD Tiefstack,127.0,in Betrieb,,Vattenfall GmbH
06-09-674-2071-0001,BNA0243,Bayern,Erdgas,2008,Ja,HKW Eltmann,57.0,in Betrieb,,Palm Power GmbH & Co. KG
06-05-900-9140178,BNA0411,Nordrhein-Westfalen,Erdgas,2008,Nein,Trianel Gaskraftwerk ,420.9,in Betrieb,,Trianel Gaskraftwerk Hamm GmbH & Co. KG 
07-05-8779480,BNA1078,Rheinland-Pfalz,Erdgas,2008,Ja,HKW Wörth,59.0,in Betrieb,,Palm Power GmbH & Co. KG
06-05-900-9140178,BNA0410,Nordrhein-Westfalen,Erdgas,2008,Nein,Trianel Gaskraftwerk ,417.1,in Betrieb,,Trianel Gaskraftwerk Hamm GmbH & Co. KG 
06-05-900-0125939,BNA0442,Nordrhein-Westfalen,Erdgas,2007,Nein,Cuno Heizkraftwerk Herdecke,417.0,in Betrieb,,Mark-E AG / Statkraft Markets
,BNA1407,Sachsen,Erdgas,2007,Ja,STW,13.5,in Betrieb,,Schoeller Technocell GmbH & Co. KG
06-05-300-9046030,BNA0548a,Nordrhein-Westfalen,Erdgas,2006,Nein,Knapsack Gas I,800.0,in Betrieb,,Statkraft Markets GmbH
,BNA1507,Rheinland-Pfalz,Erdgas,2006,Ja,,10.7,in Betrieb,,"Michelin Reifenwerke AG & Co. KGaA 
Standort Bad Kreuznach"
,BNA1023,Nordrhein-Westfalen,Erdgas,2006,Nein,Weisweiler,200.0,in Betrieb,,RWE AG
,BNA1024,Nordrhein-Westfalen,Erdgas,2006,Nein,Weisweiler,200.0,in Betrieb,,RWE AG
06-10-0020157,BNA0861a,Saarland,Erdgas,2005 / 2012,Ja,HKW Römerbrücke,75.0,in Betrieb,,Energie SaarLorLux AG
06-05-100-0030712,BNA1082,Nordrhein-Westfalen,Erdgas,2005,Ja,HKW Barmen,82.0,in Betrieb,,WSW Energie & Wasser AG
06-05-300-0370387,BNA0545,Nordrhein-Westfalen,Erdgas,2005,Ja,HKW Niehl 2,413.0,in Betrieb,,RheinEnergie AG
06-05-100-0229264,BNA0214,Nordrhein-Westfalen,Erdgas,2005,Ja,HKW III/B,234.0,in Betrieb,,Stadtwerke Duisburg AG
16874,BNA1461,Sachsen-Anhalt,Braunkohle,2005,Ja,,17.5,in Betrieb,,CropEnergies Bioethanol GmbH Zeitz
12305,BNA0392a,Sachsen-Anhalt,Erdgas,2005,Ja,HKW Halle Trotha,97.0,in Betrieb,,EVH GmbH
07-05-8290552,BNA0614b,Rheinland-Pfalz,Erdgas,2005,Ja,Kraftwerk Mitte,497.5,in Betrieb,,BASF SE
,BNA1121,Nordrhein-Westfalen,Erdgas,2005,Ja,Energiezentrale,0.9,in Betrieb,,RÜTGERS InfraTec GmbH
06-08-2951606,BNA1200,Baden-Württemberg,Erdgas,2005,Ja,GuD-Kraftwerk,17.2,Netzreserve,,Energie- und Medienversorgung Sandhofer Straße GmbH & Co. KG
06-09-500-0354-0002,BNA0742,Bayern,Erdgas,2005,Ja,HKW Sandreuth,75.0,in Betrieb,,N-ERGIE AG
06-09-500-0112-0001,BNA0261a,Bayern,Erdgas,2005,Ja,HKW Erlangen,21.6,in Betrieb,,Erlanger Stadtwerke AG
06-09-600-0025-0001,BNA1088,Bayern,Erdgas,2005,Ja,Heizkraftwerke an der Friedensbrücke,44.5,in Betrieb,,Heizkraftwerk Würzburg GmbH
,BNA1275,Baden-Württemberg,Erdgas,2005,Ja,Kraftwerk Freudenberg Weinheim,21.0,stillgelegt,2013,Freudenberg Service KG
06-08-2948214,BNA0644,Baden-Württemberg,Steinkohle,2005,Ja,GKM ,255.0,in Betrieb,,Grosskraftwerk Mannheim AG
06-09-500-0354-0002,BNA0743,Bayern,Erdgas,2005,Ja,HKW Sandreuth,75.0,in Betrieb,,N-ERGIE AG
,BNA0100,Nordrhein-Westfalen,Erdgas,2005,ja,GuD Kraftwerk Hillegossen,37.5,in Betrieb,,Stadtwerke Bielefeld GmbH
06-00464020412,BNA0285,Hessen,Erdgas,2005,Ja,HKW Niederrad,70.0,in Betrieb,,Mainova AG
,BNA1866,Sachsen,Erdgas,2005,Ja,,33.9,in Betrieb,,Zweite Energieversorgungscenter Dresden-Wilschdorf GmbH & Co. KG
,BNA0685,Nordrhein-Westfalen,Erdgas,2005,Ja,Heizkraftwerk Hafen,100.2,in Betrieb,,Stadtwerke Münster GmbH
06-05-100-0018507,BNA0556a,Nordrhein-Westfalen,Erdgas,2005,Ja,KWK-Anlage Krefeld DT,25.8,in Betrieb,,Cargill Deutschland GmbH
,BNA0527,Schleswig-Holstein,Erdgas,2005,Ja,HKW Humboldtstr.,21.5,in Betrieb,,Stadtwerke Kiel AG
06-05-900-0021170,BNA0110,Nordrhein-Westfalen,Erdgas,2004,Ja,Bochum,20.7,in Betrieb,,RWE AG
06-05-300-0923949,BNA0546,Nordrhein-Westfalen,Erdgas,2004,Ja,HKW Merkenich,108.0,in Betrieb,,RheinEnergie AG
,BNA0033,Bayern,Erdgas,2004,Ja,Gasturbine,30.7,in Betrieb,,Stadtwerke Augsburg Energie GmbH
,BNA1165,Nordrhein-Westfalen,Erdgas,2004,ja,P&L Werk Appeldorn,11.4,in Betrieb,,Pfeifer & Langen GmbH & Co. KG
,BNA0202,Nordrhein-Westfalen,Erdgas,2004,Ja,Dortmund,26.0,in Betrieb,,RWE AG
06-09-100-0088-0005,BNA0684a,Bayern,Erdgas,2004,Ja,Süd GT 61,124.9,in Betrieb,,SWM Services GmbH
06-09-100-0088-0005,BNA0684b,Bayern,Erdgas,2004,Ja,Süd GT 62,123.9,in Betrieb,,SWM Services GmbH
06-09-100-0088-0005,BNA0684c,Bayern,Erdgas,2004,Ja,Süd DT60,127.6,in Betrieb,,SWM Services GmbH
,BNA1164,Nordrhein-Westfalen,Braunkohle,2004,ja,P&L Werk Jülich,24.6,in Betrieb,,Pfeifer & Langen GmbH & Co. KG
06-08-34064722,BNA0361,Baden-Württemberg,Erdgas,2004,Ja,Kraftwerk Grenzach-Wyhlen,40.0,in Betrieb,,KGW - Kraftwerk Grenzach-Wyhlen GmbH
,BNA1056,Hessen,Erdgas,2003 / 2006,Ja,Wi-Biebrich,25.0,in Betrieb,,InfraServ GmbH & Co. Wiesbaden KG
06-00453010412,BNA0499,Hessen,Erdgas,2003,Ja,Heizkraftwerk,86.0,in Betrieb,,Infraserv GmbH & Co. Höchst KG
,BNA1196b,Rheinland-Pfalz,Erdgas,2003,Ja,Industriekraftwerk Ludwigshafen,12.0,in Betrieb,,MVV Energie AG
,BNA1327b,Bayern,Erdgas,2003,Ja,Erweiterung Energiezentrale 2003,7.4,in Betrieb,,Flughafen München GmbH
,BNA1196a,Rheinland-Pfalz,Erdgas,2003,Ja,BHKW Ludwigshafen,12.0,in Betrieb,,MVV Energie AG
06-05-100-0229264,BNA0213,Nordrhein-Westfalen,Erdgas,2002,Ja,HKW III/A,40.0,in Betrieb,,Stadtwerke Duisburg AG
06-09-171-0002--C01,BNA0174,Bayern,Erdgas,2002,Ja,Industriepark Werk Gendorf,62.0,in Betrieb,,InfraServ GmbH & Co. Gendorf KG
,BNA1151,Baden-Württemberg,Erdgas,2002,Ja,KWKK Heidelberg,13.5,in Betrieb,,RWE AG
06-05-300-0326774,BNA0709,Nordrhein-Westfalen,Braunkohle,2002,Nein,Niederaußem,944.0,in Betrieb,,RWE AG
06-09-187-4048-0001,BNA1328,Bayern,Erdgas,2001,Ja,HBB,24.0,in Betrieb,,HBB Heizkraftwerk Bauernfeind Betreibergesellschaft mbh
,BNA1183,Nordrhein-Westfalen,Erdgas,2001,Ja,HKW Merheim,15.8,in Betrieb,,RheinEnergie AG
06-08-3610519,BNA1315,Baden-Württemberg,Erdgas,2001,Ja,HKW,27.0,in Betrieb,,Universitätsklinikum Freiburg AdöR
07-04-6021280,BNA0626,Rheinland-Pfalz,Erdgas,2001,Ja,Kraftwerk Mainz,434.2,in Betrieb,,Kraftwerke Mainz-Wiesbaden AG
06-09-171-0009-0B01,BNA0172a,Bayern,Erdgas,2001,Ja,Burghausen 01 - GT,120.0,in Betrieb,,Wacker Chemie AG
,BNA1193,Nordrhein-Westfalen,Erdgas,2001,ja,HKW-West,12.8,in Betrieb,,Stadtwerke Lemgo GmbH
03-01-01241117210,BNA1075a,Niedersachsen,Steinkohle,2000,Ja,HKW Nord,61.5,in Betrieb,,Volkswagen AG
12342,BNA0105,Sachsen-Anhalt,Erdgas,2000,Ja,GuD Bitterfeld,106.0,in Betrieb,,envia THERM GmbH
03-01-01241117210,BNA1075b,Niedersachsen,Steinkohle,2000,Ja,HKW Nord,61.5,in Betrieb,,Volkswagen AG
16-30-30400102003,BNA0256a,Thüringen,Erdgas,2000,Ja,HKW Erfurt-Ost,76.5,in Betrieb,,SWE Energie GmbH
,BNA1450,Niedersachsen,Erdgas,2000,Ja,GUD-Anlage DREWSEN,13.0,in Betrieb,,DREWSEN SPEZIALPAPIERE GmbH & Co. KG
,BNA1238,Bayern,Erdgas,2000,ja,Kraftwerk Meggle,15.5,in Betrieb,,Molkerei MEGGLE Wasserburg GmbH & Co. KG
14-80-00009560000,BNA0115,Sachsen,Braunkohle,2000,Ja,Lippendorf,875.0,in Betrieb,,Lausitz Energie Kraftwerke AG
,BNA0199,Nordrhein-Westfalen,Erdgas,2000,Ja,Dormagen,585.5,in Betrieb,,RWE AG
,BNA0957,Baden-Württemberg,Erdgas,2000,Ja,BHKW Obere Viehweide,13.4,in Betrieb,,Stadtwerke Tübingen GmbH
14-70-46630660001,BNA0124,Sachsen,Braunkohle,2000,Ja,Boxberg,857.0,in Betrieb,,Lausitz Energie Kraftwerke AG
,BNA1138,Nordrhein-Westfalen,Erdgas,2000,Ja,BHKW an Klinkerweg,10.2,in Betrieb,,Stadtwerke Erkrath GmbH
06-05-100-0167182,BNA0220,Nordrhein-Westfalen,Erdgas,2000,Ja,GuD,100.0,in Betrieb,,Stadtwerke Düsseldorf AG
14-80-00009560000,BNA0116,Sachsen,Braunkohle,1999,Ja,Braunkohlekraftwerk Lippendorf,875.0,in Betrieb,,EnBW AG
,BNA1403,Sachsen-Anhalt,Erdgas,1999,Ja,Steinitz,11.4,in Betrieb,,ENGIE E&P Deutschland GmbH
06-00004310411,BNA1125,Hessen,Erdgas,1999,Ja,Heizkraftwerk,10.0,in Betrieb,,Merck KGaA
,BNA1117,Hessen,Erdgas,1999,Ja,Industriekraftwerk Breuberg,11.4,in Betrieb,,Industriekraftwerk Breuberg GmbH
12-40520430000,BNA0183,Brandenburg,Braunkohle,1999,Ja,HKW Cottbus,74.0,in Betrieb,,HKW Heizkraftwerksgesellschaft Cottbus mbH
,BNA0857,Hessen,Erdgas,1999,Ja,GuD-Anlage Rüsselsheim,112.1,in Betrieb,,Opel Automobile GmbH 
,BNA0418,Niedersachsen,Erdgas,1998 / 2013,Ja,GKL,230.0,in Betrieb,,Stadtwerke Hannover AG
06-08-2797933,BNA0514,Baden-Württemberg,Erdgas,1998,Nein,Rheinhafen-Dampfkraftwerk,353.0,Netzreserve,,EnBW AG
12-40716440000,BNA0915,Brandenburg,Braunkohle,1998,Ja,Schwarze Pumpe,750.0,in Betrieb,,Lausitz Energie Kraftwerke AG
14-70-52316700250,BNA1396,Sachsen,Erdgas,1998,Ja,EVC / GLOBALFOUNDRIES,34.3,in Betrieb,,Energieversorgungscenter Dresden-Wilschdorf GmbH & Co. KG
06-08-9840001,BNA0293,Baden-Württemberg,Erdgas,1998,Ja,GuD Anlage WVK,60.1,in Betrieb,,Solvay Acetow GmbH
13770,BNA0592,Sachsen-Anhalt,Erdgas,1998,Nein,GuD Leuna,39.0,in Betrieb,,InfraLeuna GmbH
,BNA1128,Bayern,Erdgas,1998,Ja,GHD,6.7,in Betrieb,,GHD Bayernwerk Natur GmbH & Co. KG
,BNA0354,Niedersachsen,Erdgas,1998,Ja,HKW Göttingen,18.8,in Betrieb,,Georg-August-Universität Göttingen Stiftung Öffentlichen Rechts
,BNA1127,Bayern,Erdgas,1998,Ja,GHD,6.7,in Betrieb,,GHD Bayernwerk Natur GmbH & Co. KG
13-50-138,BNA0688,Mecklenburg-Vorpommern,Erdgas,1997,Ja,GuD-HKW Neubrandenburg,75.0,in Betrieb,,Neubrandenburger Stadtwerke GmbH
,BNA1074,Sachsen-Anhalt,Erdgas,1997,Nein,Spitzenlastkraftwerk Wolfen,40.0,in Betrieb,,envia THERM GmbH
,BNA0129,Brandenburg,Erdgas,1997,Ja,HKW,36.0,in Betrieb,,Stadtwerke Brandenburg an der Havel GmbH
12-40716440000,BNA0914,Brandenburg,Braunkohle,1997,Ja,Schwarze Pumpe,750.0,in Betrieb,,Lausitz Energie Kraftwerke AG
06-08-1741292,BNA0019,Baden-Württemberg,Steinkohle,1997,Ja,Heizkraftwerk Altbach/Deizisau,336.0,in Betrieb,,EnBW AG
