KraftwerkID;BlockID;Unternehmen;Kraftwerksname;PLZ;Ort;Straße und Hausnummer;Bundesland;Blockname;"Inbetriebnahme
(Jahr)";Status;Energieträger;"Vergütungsfähig nach EEG
(ja/nein)";"Wärmeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung in MW;Bezeichnung Verknüpfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemäß Netzbetreiber;Netz- oder Umspannebene des Anschlusses in kV;Name Stromnetzbetreiber
06-05-900-0884101;BNA0618;Steag GmbH;KW Lünen;44536;Lünen;Moltkestr. 215;Nordrhein-Westfalen;Lünen 6;1962;in Betrieb;Steinkohle;Nein;Nein;149.0;110 kV Schaltanlage Lünen;110;Westnetz GmbH
;BNA1006;EnBW Energie Baden-Württemberg AG;Kraftwerk Walheim;74399;Walheim;Mühlstraße;Baden-Württemberg;WAL 2;1967;Gesetzlich an Stilllegung gehindert;Steinkohle;Nein;Nein;148.0;Walheim;110;Netze BW GmbH
;BNA1076a;Volkswagen AG;HKW West;38436;Wolfsburg;;Niedersachsen;Block 1;1985;in Betrieb;Steinkohle;Nein;Ja;138.5;UW Wolfsburg;110;VW Kraftwerk GmbH
;BNA1076b;Volkswagen AG;HKW West;38436;Wolfsburg;;Niedersachsen;Block 2;1985;in Betrieb;Steinkohle;Nein;Ja;138.5;UW Wolfsburg;110;VW Kraftwerk GmbH
06-05-100-0081105;BNA0310;RWE Power AG;Frimmersdorf;41517;Grevenbroich-Frimmersdorf;;Nordrhein-Westfalen;M;1962;Endgültig Stillgelegt 2012 (ohne StA);Braunkohle;Nein;Nein;138.0;Frimmersdorf;110;Westnetz GmbH
01-50-56050192711;BNA0404;Vattenfall Europe Wärme AG;Wedel;22880;Wedel;Tinsdaler Weg 146;Schleswig-Holstein;Wedel 1;1961;in Betrieb;Steinkohle;Nein;Ja;137.0;Wedel;110;Stromnetz Hamburg GmbH
03-06-06060316030;BNA0420;Stadtwerke Hannover AG;GKH;30419;Hannover;;Niedersachsen;Block1;1989;in Betrieb;Steinkohle;Nein;Ja;136.0;UW-Stöcken;110;enercity Netzgesellschaft mbH 
03-06-06060316030;BNA0421;Stadtwerke Hannover AG;GKH;30419;Hannover;;Niedersachsen;Block2;1989;in Betrieb;Steinkohle;Nein;Ja;136.0;UW-Stöcken;110;enercity Netzgesellschaft mbH 
06-05-100-0081105;BNA0308;RWE Power AG;Frimmersdorf;41517;Frimmersdorf;;Nordrhein-Westfalen;K;1962;Endgültig Stillgelegt 2012 (ohne StA);Braunkohle;Nein;Nein;136.0;Opladen;380;Amprion GmbH
06-05-300-0877384;BNA1022;RWE Power AG;Weisweiler;52249;Eschweiler-Weisweiler;;Nordrhein-Westfalen;D;1959;Endgültig Stillgelegt 2012 (ohne StA);Braunkohle;Nein;Nein;135.0;Oberzier;380;Amprion GmbH
06-05-100-0081105;BNA0309;RWE Power AG;Frimmersdorf;41517;Grevenbroich-Frimmersdorf;;Nordrhein-Westfalen;N;1964;Endgültig Stillgelegt 2012 (ohne StA);Braunkohle;Nein;Nein;135.0;Gohrpunkt;220;Amprion GmbH
06-05-100-0229264;BNA0212;Stadtwerke Duisburg AG;HKW II/B;47053;Duisburg;Zirkelstraße;Nordrhein-Westfalen;HKW II/B;1965;Endgültig Stillgelegt 2012 (ohne StA);Steinkohle;Nein;Ja;133.0;UW HKW II;110;Netze Duisburg GmbH
06-05-100-0081105;BNA0312;RWE Power AG;Frimmersdorf;41517;Grevenbroich-Frimmersdorf;;Nordrhein-Westfalen;O;1964;Endgültig Stillgelegt 2012 (ohne StA);Braunkohle;Nein;Nein;133.0;Rommerskirchen;220;Amprion GmbH
06-05-900-0327252;BNA0447;Steag GmbH;KW Herne;44653;Herne;Hertener Str. 16;Nordrhein-Westfalen;Herne 2;1963;Endgültig Stillgelegt 2014 (mit StA);Steinkohle;Nein;Nein;133.0;220 kV Schaltanlage Eiberg;220;Amprion GmbH
06-05-100-0081105;BNA0306;RWE Power AG;Frimmersdorf;41517;Grevenbroich-Frimmersdorf;;Nordrhein-Westfalen;F;1960;Endgültig Stillgelegt 2012 (ohne StA);Braunkohle;Nein;Nein;132.0;Osterath;220;Amprion GmbH
;BNA0448;Uniper Kraftwerke GmbH ;Shamrock;44652;Herne;;Nordrhein-Westfalen;;1957;Endgültig Stillgelegt 2013 (ohne StA);Steinkohle;Nein;Ja;132.0;Gelsenkirchen;110;Amprion GmbH
06-05-100-0081105;BNA0311;RWE Power AG;Frimmersdorf;41517;Grevenbroich-Frimmersdorf;;Nordrhein-Westfalen;L;1962;Endgültig Stillgelegt 2012 (ohne StA);Braunkohle;Nein;Nein;131.0;Frimmersdorf;110;Westnetz GmbH
06-05-100-0081105;BNA0303;RWE Power AG;Frimmersdorf;41517;Frimmersdorf;;Nordrhein-Westfalen;D;1957;Endgültig Stillgelegt 2011 (ohne StA);Braunkohle;Nein;Nein;130.0;Frimmersdorf;110;Westnetz GmbH
06-05-100-0081105;BNA0305;RWE Power AG;Frimmersdorf;41517;Grevenbroich-Frimmersdorf;;Nordrhein-Westfalen;E;1959;Endgültig Stillgelegt 2012 (ohne StA);Braunkohle;Nein;Nein;130.0;Osterath;220;Amprion GmbH
06-05-100-0081105;BNA0302;RWE Power AG;Frimmersdorf;41517;Frimmersdorf;;Nordrhein-Westfalen;C;1957;Endgültig Stillgelegt 2011 (ohne StA);Braunkohle;Nein;Nein;129.0;Frimmersdorf;110;Westnetz GmbH
06-05-100-0365906;BNA0215;Steag GmbH;KW Walsum;47179;Duisburg;Dr. Wilhelm-Roelen-Str.129;Nordrhein-Westfalen;Walsum 7;1959;Endgültig Stillgelegt 2014 (mit StA);Steinkohle;Nein;Nein;129.0;220 kV Schaltanlage Walsum;220;Amprion GmbH
06-05-100-0081105;BNA0307;RWE Power AG;Frimmersdorf;41517;Frimmersdorf;;Nordrhein-Westfalen;I;1960;Endgültig Stillgelegt 2012 (ohne StA);Braunkohle;Nein;Nein;128.0;Opladen;380;Amprion GmbH
06-04-11/2001178/8/0;BNA0145;swb Erzeugung GmbH & Co. KG;KW Hafen;28237;Bremen;Otavistr. 7-9;Bremen;Block 5;1968;Vorläufig Stillgelegt (mit StA);Steinkohle;Nein;Ja;127.0;DE0072032825900000000000000232559;110;Wesernetz Bremen GmbH
06-05-300-0326774;BNA0710;RWE Power AG;Niederaußem;50129;Bergheim;;Nordrhein-Westfalen;B;1963;Vorläufig Stillgelegt (ohne StA);Braunkohle;Nein;Nein;125.0;Brauweiler;220;Amprion GmbH
06-05-300-0326774;BNA0711;RWE Power AG;Niederaußem;50129;Bergheim;;Nordrhein-Westfalen;A;1963;Vorläufig Stillgelegt (ohne StA);Braunkohle;Nein;Nein;125.0;Brauweiler;220;Amprion GmbH
06-08-1020129;BNA0432;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Heilbronn;74076;Heilbronn;Lichtenbergerstraße 23;Baden-Württemberg;HLB 5;1965;Gesetzlich an Stilllegung gehindert;Steinkohle;Nein;Ja;125.0;Heilbronn;110;Netze BW GmbH
06-08-1020129;BNA0433;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Heilbronn;74076;Heilbronn;Lichtenbergerstraße 23;Baden-Württemberg;HLB 6;1966;Gesetzlich an Stilllegung gehindert;Steinkohle;Nein;Ja;125.0;Heilbronn;110;Netze BW GmbH
06-11-01-1105602;BNA0082;Vattenfall Europe Wärme Aktiengesellschaft;Reuter;13599;Berlin;Otternbuchtstr. 11;Berlin;Reuter C;1969;in Betrieb;Steinkohle;Nein;Ja;124.0;Reuter;110;Stromnetz Berlin GmbH
06-05-100-0081105;BNA0304;RWE Power AG;Frimmersdorf;41517;Frimmersdorf;;Nordrhein-Westfalen;G;1960;Endgültig Stillgelegt 2011 (ohne StA);Braunkohle;Nein;Nein;124.0;Rommerskirchen;220;Amprion GmbH
01-50-56050192711;BNA0403;Vattenfall Europe Wärme AG;Wedel;22880;Wedel;Tinsdaler Weg 146;Schleswig-Holstein;Wedel 2;1962;in Betrieb;Steinkohle;Nein;Ja;123.0;Wedel;110;Stromnetz Hamburg GmbH
06-05-300-0877384;BNA1021;RWE Power AG;Weisweiler;52249;Eschweiler-Weisweiler;;Nordrhein-Westfalen;C;1955;Endgültig Stillgelegt 2012 (ohne StA);Braunkohle;Nein;Ja;123.0;Oberzier;380;Amprion GmbH
06-04-11/2001178/8/0;BNA0144;swb Erzeugung GmbH & Co. KG;KW Hastedt;28207;Bremen;Hastedter Osterdeich 255;Bremen;Block 15;1989;in Betrieb;Steinkohle;Nein;Ja;119.0;DE0072032820700000000000000232557;110;Wesernetz Bremen GmbH
1;BNA0189;Uniper Kraftwerke GmbH ;Datteln;45711;Datteln;;Nordrhein-Westfalen;3;1969;Endgültig Stillgelegt 2013 (ohne StA);Steinkohle;Nein;Nein;113.0;Datteln;110;DB Energie GmbH
06-05-100-0081105;BNA0292;RWE Power AG;Frechen/Wachtberg;50226;Frechen;;Nordrhein-Westfalen;Frechen/Wachtberg;1959;in Betrieb;Braunkohle;Nein;Ja;110.0;Frechen;110;Westnetz GmbH
06-05-100-9021016;BNA0557b;Currenta GmbH & Co. OHG;Kraftwerk N 230;47812;Krefeld-Uerdingen;CHEMPARK, Geb. N 230;Nordrhein-Westfalen;;1971;in Betrieb;Steinkohle;Nein;Ja;110.0;;25;CURRENTA
06-10-0075248;BNA0253;VSE AG, Kraftwerk Ensdorf;Kraftwerk Ensdorf;66806;Ensdorf;Kurt-Kessler-Str.;Saarland;Block 1;1963;in Betrieb;Steinkohle;Nein;Ja;106.0;"Schaltanlage Ensdorf (UA-Ensdorf); DE 0001816680600000000000000580138";220;Amprion GmbH
06-05-300-9046797;BNA0600b;Currenta GmbH & Co. OHG;G-Kraftwerk;51368;Leverkusen;CHEMPARK, Geb. G 22;Nordrhein-Westfalen;;1962;in Betrieb;Steinkohle;Nein;Ja;103.0;;25;CURRENTA
;BNA1005;EnBW Energie Baden-Württemberg AG;Kraftwerk Walheim;74399;Walheim;Mühlstraße;Baden-Württemberg;WAL 1;1964;Gesetzlich an Stilllegung gehindert;Steinkohle;Nein;Nein;96.0;Walheim;110;Netze BW GmbH
06-05-100-0031758;BNA0211;Stadtwerke Duisburg AG;HKW I;47053;Duisburg;Zirkelstraße;Nordrhein-Westfalen;ZAWSF;1985;in Betrieb;Steinkohle;Nein;Ja;95.0;UW HKW I;110;Netze Duisburg GmbH
1;BNA0187;Uniper Kraftwerke GmbH ;Datteln;45711;Datteln;;Nordrhein-Westfalen;1;1964;Endgültig Stillgelegt 2013 (ohne StA);Steinkohle;Nein;Ja;95.0;Datteln;110;DB Energie GmbH
1;BNA0188;Uniper Kraftwerke GmbH ;Datteln;45711;Datteln;;Nordrhein-Westfalen;2;1964;Endgültig Stillgelegt 2013 (ohne StA);Steinkohle;Nein;Ja;95.0;Datteln;110;DB Energie GmbH
;BNA0812;Gemeinschaftskraftwerk Veltheim GmbH;Kraftwerk Veltheim;32457;Porta Westfalica;;Nordrhein-Westfalen;2;1965;Endgültig Stillgelegt 2012 (ohne StA);Steinkohle;Nein;Nein;93.0;UW - Veltheim;110;Netz Veltheim GmbH
14-60-48821410003;BNA0179;eins energie in sachsen GmbH & Co. KG;HKW Chemnitz  Nord II;9116;Chemnitz;;Sachsen;Block C;1990;in Betrieb;Braunkohle;Nein;Ja;90.8;UW Chemnitz Mitte;110;inetz GmbH
06-11-01-1105604;BNA0085a;Vattenfall Europe Wärme Aktiengesellschaft;Moabit;13353;Berlin;Friedrich-Krause-Ufer 10- 15;Berlin;Moabit A;1990;in Betrieb;Steinkohle;Nein;Ja;89.0;Moabit;110;Stromnetz Berlin GmbH
06-05-100-0030723;BNA1084;WSW Energie & Wasser AG;HKW Elberfeld ;42117;Wuppertal;;Nordrhein-Westfalen;Block 3;1989;in Betrieb;Steinkohle;Nein;Ja;85.0;;110;WSW Netz GmbH 
;BNA0834;Solvay Chemicals GmbH;Solvay Kraftwerk Rheinberg;47495;Rheinberg;;Nordrhein-Westfalen;;1975;in Betrieb;Steinkohle;Nein;ja;79.0;Umspannwerk Ossenberg 110 kV;25;Solvay Chemicals GmbH
06-05-300-0923949;BNA0543;RheinEnergie AG;HKW Merkenich;50769;Köln;;Nordrhein-Westfalen;Block 6;2010;in Betrieb;Braunkohle;Nein;Ja;75.3;UW Merkenich;110;Rheinische NETZGesellschaft mbH 
12-40520430000;BNA0183;HKW Heizkraftwerksgesellschaft Cottbus mbH;HKW Cottbus;3052;Cottbus;;Brandenburg;1;1999;in Betrieb;Braunkohle;Nein;Ja;74.0;SWC / NA 1 und NA 2;110;Mitteldeutsche Netzgesellschaft Strom mbH
;BNA0336;Uniper Kraftwerke GmbH ;FWK Buer;45896;Gelsenkirchen;;Nordrhein-Westfalen;;1985;in Betrieb;Steinkohle;Nein;Ja;70.0;Scholven;35;Amprion GmbH
;BNA0196;Mitteldeutsche Braunkohlengesellschaft mbH;Deuben;6682;Teuchern;;Sachsen-Anhalt;;1936;in Betrieb;Braunkohle;Nein;Ja;67.0;Schaltanlage Zwenkau;110;Mitteldeutsche Netzgesellschaft Strom mbH
;BNA0498;Infraserv GmbH & Co. Höchst KG;Heizkraftwerk;65926;Industriepark Höchst;;Hessen;Block B;1989;in Betrieb;Steinkohle;Nein;Ja;66.0;FWH O/W;10;Infraserv GmbH & Co. Höchst KG
06-05-800-0203946;BNA0489;RWE Power AG;Goldenberg;50354;Hürth;;Nordrhein-Westfalen;E;1992;Endgültig Stillgelegt 2015 (mit StA);Braunkohle;Nein;Ja;66.0;Knapsack;110;Westnetz GmbH
06-00464010412;BNA0289b;Mainova AG;HKW West;60627;Frankfurt am Main;Gutleutstraße 231;Hessen;Block 2;1989;in Betrieb;Steinkohle;Nein;Ja;61.5;UW Gutleutstraße;110;NRM Netzdienste Rhein-Main GmbH
06-00464010412;BNA0290;Mainova AG;HKW West;60627;Frankfurt am Main;Gutleutstraße 231;Hessen;Block 3;1989;in Betrieb;Steinkohle;Nein;Ja;61.5;UW Gutleutstraße;110;NRM Netzdienste Rhein-Main GmbH
;BNA1075a;Volkswagen AG;HKW Nord;38436;Wolfsburg;;Niedersachsen;Generator A;2000;in Betrieb;Steinkohle;Nein;Ja;61.5;UW West;50;VW Kraftwerk GmbH
;BNA1075b;Volkswagen AG;HKW Nord;38436;Wolfsburg;;Niedersachsen;Generator B;2000;in Betrieb;Steinkohle;Nein;Ja;61.5;UW Ost;50;VW Kraftwerk GmbH
;BNA0661;Evonik Degussa GmbH;Kraftwerk II;45772;Marl;Paul-Baumann-Str. 1;Nordrhein-Westfalen;Block 3;1966;in Betrieb;Steinkohle;Nein;Ja;60.4;;110;Evonik Degussa GmbH
;BNA0662a;Evonik Degussa GmbH;Kraftwerk I ;45772;Marl;Paul-Baumann-Str. 1;Nordrhein-Westfalen;Block 5 ;1983;in Betrieb;Steinkohle;Nein;Ja;60.2;;110;Evonik Degussa GmbH
;BNA0680;Mitteldeutsche Braunkohlengesellschaft mbH;Mumsdorf;4613;Mumsdorf;;Sachsen-Anhalt;;1968;Endgültig Stillgelegt 2013 (mit StA);Braunkohle;Nein;Ja;60.0;Schaltanlage Phönix Mumsdorf;110;Mitteldeutsche Netzgesellschaft Strom mbH
14-60-48821410003;BNA0177;eins energie in sachsen GmbH & Co. KG;HKW Chemnitz  Nord II;9115;Chemnitz;;Sachsen;Block B;1988;in Betrieb;Braunkohle;Nein;Ja;56.8;UW Chemnitz Glösa;110;inetz GmbH
;BNA0660;Evonik Degussa GmbH;Kraftwerk I  ;45772;Marl;Paul-Baumann-Str. 1;Nordrhein-Westfalen;Block 4 ;1971;in Betrieb;Steinkohle;Nein;Ja;55.3;;110;Evonik Degussa GmbH
;BNA0491;RWE Power AG;Ville/Berrenrath;50354;Hürth;;Nordrhein-Westfalen;Ville/Berrenrath;1991;in Betrieb;Braunkohle;Nein;Ja;55.0;Berrenrath;110;Westnetz GmbH
06-00059010413;BNA0758;Energieversorgung Offenbach AG;Heizkraftwerk Offenbach;63067;Offenbach;;Hessen;;1990;in Betrieb;Steinkohle;Nein;ja;54.0;Andréstraße;110;Netrion GmbH
;BNA0861b;Energie SaarLorLux AG;HKW Römerbrücke;66121;Saarbrücken;;Saarland;Kohleanlage;1988;in Betrieb;Steinkohle;Nein;Ja;50.0;UW Römerbrücke;110;"Stadtwerke Saarbrücken AG /
VSE Verteilnetz GmbH"
12110;BNA0194;Kraftwerk Dessau GmbH;Kraftwerk Dessau;6842;Dessau-Roßlau;;Sachsen-Anhalt;;1996;in Betrieb;Braunkohle;Nein;ja;49.0;KWD;15;Dessauer Stromversorgung GmbH
12-30532000000;BNA0284;Stadtwerke Frankfurt (Oder) GmbH;Heizkraftwerk FFO;15236;Frankfurt Oder;;Brandenburg;Block1-GuD-EK;1997;in Betrieb;Braunkohle;Nein;Ja;45.0;"Zelle 3 und 13 Schaltanlage ""Am Hohen Feld 4""";20;Netzgesellschaft Frankfurt (Oder) mbH
;BNA1486;ROMONTA GmbH;Grubenheizkraftwerk;6317;Seegebiet Mansfelder Land;Chausseestraße 1;Sachsen-Anhalt;;1979;in Betrieb;Braunkohle;Nein;Ja;45.0;SF6-Schaltanlage Amsdorf Braunkohle;110;Mitteldeutsche Netzgesellschaft Strom mbH
;BNA0935;EnBW Energie Baden-Württemberg AG;Restmüll-Heizkraftwerk Stuttgart-Münster;70376;Stuttgart;Voltastraße 45;Baden-Württemberg;MÜN DT12;1982;in Betrieb;Steinkohle;Nein;Ja;45.0;Münster;110;Netze BW GmbH
;BNA0936;EnBW Energie Baden-Württemberg AG;Restmüll-Heizkraftwerk Stuttgart-Münster;70376;Stuttgart;Voltastraße 45;Baden-Württemberg;MÜN DT15;1984;in Betrieb;Steinkohle;Nein;Ja;45.0;Münster;110;Netze BW GmbH
06-05-800-0203946;BNA0490b;RWE Power AG;Goldenberg;50354;Hürth;;Nordrhein-Westfalen;F;1993;Endgültig Stillgelegt 2015 (mit StA);Braunkohle;Nein;Ja;45.0;Knapsack;110;Westnetz GmbH
03-01-01010157480;BNA0138;Braunschweiger Versorgungs-AG & Co. KG;HKW-Mitte;38106;Braunschweig;;Niedersachsen;Block 1 ;1984;in Betrieb;Steinkohle;Nein;Ja;43.3;UW Hasenwinkel;110;Braunschweiger Netz GmbH
06-05-800-0203946;BNA0490a;RWE Power AG;Goldenberg;50354;Hürth;;Nordrhein-Westfalen;F;1993;Sonderfall;Braunkohle;Nein;Ja;40.0;Knapsack;110;Westnetz GmbH
;BNA1500;Nordzucker AG, Werk Uelzen;Werk Uelzen;29525;Uelzen;An der Zuckerfabrik 1;Niedersachsen;;"vor 1945 /
letzte Änderung 1990";Sonderfall;Steinkohle;Nein;Ja;40.0;;20;Celle-Uelzen Netz GmbH
01-50-01000004838;BNA0273;Stadtwerke Flensburg GmbH;Heizkraftwerk FL;24939;Flensburg;Batteriestr. 48;Schleswig-Holstein;Block 8;1982;Endgültig Stillgelegt 2016 (mit StA);Steinkohle;Nein;ja;35.0;SW Flensburg GmbH;60;Stadtwerke Flensburg GmbH 
06-14600010611;BNA0523;Städtische Werke Energie + Wärme GmbH;FKK;34134;Kassel;;Hessen;;1988;in Betrieb;Braunkohle;Nein;Ja;33.5;DE00033234134000KFWFKK10000199995;110;Avacon AG
01-50-01000004838;BNA0272;Stadtwerke Flensburg GmbH;Heizkraftwerk FL;24939;Flensburg;Batteriestr. 48;Schleswig-Holstein;Block 9;1985;in Betrieb;Steinkohle;Nein;ja;33.0;SW Flensburg GmbH;60;Stadtwerke Flensburg GmbH 
;BNA1002;Mitteldeutsche Braunkohlengesellschaft mbH;Wählitz;6679;Wählitz;;Sachsen-Anhalt;;1994;in Betrieb;Braunkohle;Nein;Ja;31.0;Schaltanlage Zwenkau;110;Mitteldeutsche Netzgesellschaft Strom mbH
01-50-01000004838;BNA0271;Stadtwerke Flensburg GmbH;Heizkraftwerk FL;24939;Flensburg;Batteriestr. 48;Schleswig-Holstein;Block 10;1988;in Betrieb;Steinkohle;Nein;ja;29.0;SW Flensburg GmbH;60;Stadtwerke Flensburg GmbH 
;BNA0011;Papierfabrik Albbruck GmbH;Papierfabrik Albbruck;79774;Albbruck;;Baden-Württemberg;;2009;Endgültig Stillgelegt 2012 (ohne StA);Steinkohle;Nein;Ja;28.0;Albbruck;110;ED Netze GmbH
;;Nicht-EEG-Anlagen < 10 MW;;;;;ohne Zuordnung;;;in Betrieb;Braunkohle;Nein;;27.6;;;
;BNA1451;Sachtleben Chemie GmbH;HKW Sachtleben;47198;Duisburg;Dr.-Rudolf-Sachtleben-Str. 4;Nordrhein-Westfalen;;1962;in Betrieb;Braunkohle;Nein;Ja;27.5;Homberg;10, 25;Netze Duisburg GmbH
01-50-01000004838;BNA0270;Stadtwerke Flensburg GmbH;Heizkraftwerk FL;24939;Flensburg;Batteriestr. 48;Schleswig-Holstein;Block 11;1992;in Betrieb;Steinkohle;Nein;ja;27.0;SW Flensburg GmbH;60;Stadtwerke Flensburg GmbH 
06-08-3042693;BNA0801;Heizkraftwerk Pforzheim GmbH;Heizkraftwerk Pforzheim GmbH;75175;Pforzheim;Hohwiesenweg 15;Baden-Württemberg;Wirbelschichtblock;1990;in Betrieb;Steinkohle;Nein;Ja;26.9;Hohwiesenweg;110;Stadtwerke Pforzheim GmbH und Co. KG
06-05-100-9021016;BNA0557a;Currenta GmbH & Co. OHG;Kraftwerk L 57;47812;Krefeld-Uerdingen;CHEMPARK, Geb. L 57;Nordrhein-Westfalen;;1957;in Betrieb;Steinkohle;Nein;Ja;26.0;;25;CURRENTA
;BNA0926b;Sappi Stockstadt GmbH;Heizkraftwerk der Sappi Stockstadt GmbH;63811;Stockstadt;Obernburger Straße 1-9;Bayern;Konventionelles Sammelschienenkraftwerk;1969;in Betrieb;Steinkohle;Nein;Ja;24.8;"Primär Kundenanlage zur betrieblichen Eigenversorgung
; Verbindung mit Netz der allgemeinen Versorgung über Trafo 11 (110/20kV)";110;Westnetz GmbH
;BNA1164;Pfeifer & Langen Kommanditgesellschaft;P&L Werk Jülich;52428;Jülich;Dürenerstr. 20;Nordrhein-Westfalen;Kessel 5;2004;in Betrieb;Braunkohle;Nein;ja;24.6;;10;Stadtwerke Jülich GmbH
01-50-01000004838;BNA0274;Stadtwerke Flensburg GmbH;Heizkraftwerk FL;24939;Flensburg;Batteriestr. 48;Schleswig-Holstein;Block 7;1978;Endgültig Stillgelegt 2016 (mit StA);Steinkohle;Nein;ja;23.0;SW Flensburg GmbH;60;Stadtwerke Flensburg GmbH 
;BNA0934;EnBW Energie Baden-Württemberg AG;Heizkraftwerk Stuttgart-Gaisburg;70376;Stuttgart;Langwiesenweg 23;Baden-Württemberg;GAI DT 14 neu;2009;in Betrieb;Steinkohle;Nein;Ja;22.6;Gaisburg;110;Netze BW GmbH
;BNA1405a;Fernwärme Ulm GmbH;Heizkraftwerk Magirusstraße;89077;Ulm;Magirusstr. 21;Baden-Württemberg;;1978;in Betrieb;Steinkohle;Nein;Ja;20.7;SWU 1, SWU 2;10;Stadtwerke Ulm/Neu-Ulm Netze GmbH 
;BNA1185;Pfeifer & Langen Kommanditgesellschaft;P&L Werk Könnern;6420;Könnern;An den Sieben Stücken;Sachsen-Anhalt;Kessel 1 und 2;1993;in Betrieb;Braunkohle;Nein;ja;20.3;JK Ø 3;20;Mitteldeutsche Netzgesellschaft Strom mbH
;BNA1467;Koehler SE;;77704;Oberkirch;Hauptstraße 2-4;Baden-Württemberg;;1986;in Betrieb;Steinkohle;Nein;Ja;20.0;;20;Stadtwerke Oberkirch GmbH
;BNA1097;Smurfit Kappa Zülpich Papier GmbH;Kohlekraftwerk;53909;Zülpich;Bessenicher Weg;Nordrhein-Westfalen;K06;1978;in Betrieb;Braunkohle;Nein;Ja;19.5;Viktor Rolf;20;Westnetz GmbH
;BNA1331;Reno De Medici Arnsberg GmbH;Reno De Medici;59821;Arnsberg;Hellefelderstr. 51;Nordrhein-Westfalen;HD - Kraftwerk;1923;in Betrieb;Steinkohle;Nein;ja;19.0;DE00018144139;30 auf 6;Westnetz GmbH
;BNA1400a;Südzucker AG Mannheim/Ochsenfurt, Werk Zeitz;EZ1;6712;Zeitz;Albrechtstr. 54;Sachsen-Anhalt;WSK;1993;in Betrieb;Braunkohle;Nein;Ja;18.5;MCk0268;15;Mitteldeutsche Netzgesellschaft Strom mbH
;BNA1461;CropEnergies Bioethanol GmbH Zeitz;;6712;Zeitz;Albrechtstr. 54;Sachsen-Anhalt;;2005;in Betrieb;Braunkohle;Nein;Ja;17.5;;10;Mitteldeutsche Netzgesellschaft Strom mbH
06-09-500-0112-0001;BNA0261b;Erlanger Stadtwerke AG;HKW Erlangen;91052;Erlangen; Äußere Bruckerstr. 33;Bayern;K6 DT2;1980;in Betrieb;Steinkohle;Nein;Ja;17.4;UW Mitte;20;Erlanger Stadtwerke AG
;;Nicht-EEG-Anlagen < 10 MW;;;;;ohne Zuordnung;;;in Betrieb;Steinkohle;Nein;;16.8;;;
06-05-300-0326774;BNA0714;RWE Power AG;Fortuna Nord;50129;Bergheim;;Nordrhein-Westfalen;Fortuna Nord;1984;in Betrieb;Braunkohle;Nein;Ja;15.0;Auenheim;110;Westnetz GmbH
;BNA1141;Pfeifer & Langen Kommanditgesellschaft;P&L Werk Euskirchen;53879;Euskirchen;Bonner Strasse 2;Nordrhein-Westfalen;Kessel 4 / 6;1970 / 1981 / 2013;in Betrieb;Braunkohle;Nein;Ja;14.5;;11;Westnetz GmbH
07-05-8030815;BNA0510b;SWK - Stadtwerke Kaiserslautern;HKW Karcherstr.;67655;Kaiserslautern;;Rheinland-Pfalz;20;1996;in Betrieb;Steinkohle;Nein;Ja;13.4;UW1;20;SWK Stadtwerke Kaiserslautern Versorgungs-AG
;BNA1293a;Martinswerk GmbH;Kraftwerk;50127;Bergheim;Kölner Straße 110;Nordrhein-Westfalen;K1/TG1;1995;Vorläufig Stillgelegt (ohne StA);Braunkohle;Nein;ja;10.0;Station Martinswerk;20;Westnetz GmbH
;BNA1293b;Martinswerk GmbH;Kraftwerk;50127;Bergheim;Kölner Straße 110;Nordrhein-Westfalen;K2/TG2;1995;in Betrieb;Braunkohle;Nein;Ja;10.0;Station Martinswerk;20;Westnetz GmbH
