KraftwerkID;BlockID;Unternehmen;Kraftwerksname;PLZ;Ort;Straße und Hausnummer;Bundesland;Blockname;"Inbetriebnahme
(Jahr)";Status;Energieträger;"Vergütungsfähig nach EEG
(ja/nein)";"Wärmeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung in MW;Bezeichnung Verknüpfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemäß Netzbetreiber;Netz- oder Umspannebene des Anschlusses in kV;Name Stromnetzbetreiber
;BNA0464;Stadtwerke Hannover AG;KWM;31249;Hohenhameln OT Mehrum;;Niedersachsen;Block3;1979;in Betrieb;Steinkohle;Nein;Nein;690.0;UW-Mehrum;220;TenneT TSO GmbH 
06-05-500-0342658;BNA0335;Uniper Kraftwerke GmbH ;Scholven;45896;Gelsenkirchen;;Nordrhein-Westfalen;F;1979;Endgültig Stillgelegt 2014 (mit StA);Steinkohle;Nein;Nein;676.0;Scholven;380;Amprion GmbH
06-10-00101003;BNA0820;Saar GmbH;Weiher;66287;Quierschied;Holzer Straße;Saarland;Weiher III;1976;in Betrieb;Steinkohle;Nein;ja;655.6;Uchtelfangen;220;Amprion GmbH
06-05-300-0326774;BNA0707;RWE Power AG;Niederaußem;50129;Bergheim;;Nordrhein-Westfalen;H;1974;in Betrieb;Braunkohle;Nein;Nein;648.0;Rommerskirchen;380;Amprion GmbH
14-70-46630660001;BNA1404;Vattenfall Europe Generation AG;Boxberg;2943;Boxberg;Kraftwerkstraße ;Sachsen;R;2012;in Betrieb;Braunkohle;Nein;Nein;640.0;UW Bärwalde;380;50Hertz Transmission GmbH
06-05-300-0877384;BNA1027;RWE Power AG;Weisweiler;52249;Eschweiler-Weisweiler;;Nordrhein-Westfalen;G;1974;in Betrieb;Braunkohle;Nein;Ja;636.0;Oberzier;380;Amprion GmbH
06-05-300-0877384;BNA1028;RWE Power AG;Weisweiler;52249;Eschweiler-Weisweiler;;Nordrhein-Westfalen;H;1975;in Betrieb;Braunkohle;Nein;Ja;636.0;Oberzier;380;Amprion GmbH
06-05-300-0326774;BNA0709;RWE Power AG;Niederaußem;50129;Bergheim;;Nordrhein-Westfalen;K;2002;in Betrieb;Braunkohle;Nein;Nein;632.0;Rommerskirchen;380;Amprion GmbH
06-05-300-0326774;BNA0708;RWE Power AG;Niederaußem;50129;Bergheim;;Nordrhein-Westfalen;G;1974;in Betrieb;Braunkohle;Nein;Ja;628.0;Rommerskirchen;380;Amprion GmbH
06-05-900-0865327;BNA1046a;RWE Generation SE;Gersteinwerk;59368;Werne;;Nordrhein-Westfalen;K2;1984;in Betrieb;Steinkohle;Nein;Nein;620.0;Gersteinwerk;380;Amprion GmbH
06-05-100-0248923;BNA0699;RWE Power AG;Neurath;41517;Grevenbroich-Neurath;;Nordrhein-Westfalen;D;1975;in Betrieb;Braunkohle;Nein;Ja;607.0;Opladen;380;Amprion GmbH
06-05-100-0248923;BNA0700;RWE Power AG;Neurath;41517;Grevenbroich-Neurath;;Nordrhein-Westfalen;E;1976;in Betrieb;Braunkohle;Nein;Ja;604.0;Rommerskirchen;380;Amprion GmbH
13-30-1010101;BNA0849;EnBW Energie Baden-Württemberg AG;KNG Kraftwerk Rostock;18147;Rostock;Am Kühlturm 1;Mecklenburg-Vorpommern;Rostock;1994;in Betrieb;Steinkohle;Nein;Ja;514.0;Bentwisch;380;50Hertz Transmission GmbH
06-00176010435;BNA0377;Uniper Kraftwerke GmbH ;Staudinger;63538;Großkrotzenburg;;Hessen;5;1992;in Betrieb;Steinkohle;Nein;Ja;510.0;Großkrotzenburg;380;TenneT TSO GmbH 
