BlockID,PLZ,Ort,Straße und Hausnummer (Standort Kraftwerk),Bundesland,Blockname
BNA0404,22880,Wedel,Tinsdaler Weg 146,Schleswig-Holstein,Wedel 1
BNA0420,30419,Hannover,,Niedersachsen,Block1
BNA0421,30419,Hannover,,Niedersachsen,Block2
BNA0308,41517,Frimmersdorf,,Nordrhein-Westfalen,K
BNA1022,52249,Eschweiler-Weisweiler,,Nordrhein-Westfalen,D
BNA0309,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,N
BNA0312,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,O
BNA0447,44653,Herne,Hertener Str. 16,Nordrhein-Westfalen,Herne 2
BNA0306,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,F
BNA0311,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,L
BNA0303,41517,Frimmersdorf,,Nordrhein-Westfalen,D
BNA0305,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,E
BNA0302,41517,Frimmersdorf,,Nordrhein-Westfalen,C
BNA0215,47179,Duisburg,Dr. Wilhelm-Roelen-Str.129,Nordrhein-Westfalen,Walsum 7
BNA0307,41517,Frimmersdorf,,Nordrhein-Westfalen,I
BNA0145,28237,Bremen,Otavistr. 7-9,Bremen,Block 5
BNA0710,50129,Bergheim,,Nordrhein-Westfalen,B
BNA0711,50129,Bergheim,,Nordrhein-Westfalen,A
BNA0432,74076,Heilbronn,Lichtenbergerstraße 23,Baden-Württemberg,HLB 5
BNA0433,74076,Heilbronn,Lichtenbergerstraße 23,Baden-Württemberg,HLB 6
BNA0304,41517,Frimmersdorf,,Nordrhein-Westfalen,G
BNA0403,22880,Wedel,Tinsdaler Weg 146,Schleswig-Holstein,Wedel 2
BNA1021,52249,Eschweiler-Weisweiler,,Nordrhein-Westfalen,C
BNA0144,28207,Bremen,Hastedter Osterdeich 255,Bremen,Block 15
BNA0189,45711,Datteln,,Nordrhein-Westfalen,3
BNA0253,66806,Ensdorf,Kurt-Kessler-Str.,Saarland,Block 1
BNA0187,45711,Datteln,,Nordrhein-Westfalen,1
BNA0188,45711,Datteln,,Nordrhein-Westfalen,2
BNA1084,42117,Wuppertal,,Nordrhein-Westfalen,Block 3
BNA0543,50769,Köln,,Nordrhein-Westfalen,Block 6
BNA0489,50354,Hürth,,Nordrhein-Westfalen,E
BNA0490b,50354,Hürth,,Nordrhein-Westfalen,F
BNA0490a,50354,Hürth,,Nordrhein-Westfalen,F
BNA0273,24939,Flensburg,Batteriestr. 48,Schleswig-Holstein,Block 8
BNA0274,24939,Flensburg,Batteriestr. 48,Schleswig-Holstein,Block 7
BNA0714,50129,Bergheim,,Nordrhein-Westfalen,Fortuna Nord
BNA0510b,67655,Kaiserslautern,,Rheinland-Pfalz,20
BNA0005,16356,Ahrensfelde,Lindenberger Weg,Brandenburg,GT A
BNA0006,16356,Ahrensfelde,Lindenberger Weg,Brandenburg,GT B
BNA0007,16356,Ahrensfelde,Lindenberger Weg,Brandenburg,GT C
BNA0008,16356,Ahrensfelde,Lindenberger Weg,Brandenburg,GT D
BNA0012b,31061,Alfeld,Mühlenmarsch 1,Niedersachsen,Gaskraftwerk
BNA0015,73776,Altbach,Industriestraße 11,Baden-Württemberg,ALT GT E (solo)
BNA1331,59821,Arnsberg,Hellefelderstr. 51,Nordrhein-Westfalen,HD - Kraftwerk
BNA1103,86153,Augsburg,Georg-Heindl-Strasse 4,Bayern,Dampfturbine 3
BNA0033,86165,Augsburg ,Beim Grenzgraben 10,Bayern,GT
BNA1507,55543,Bad Kreuznach,Michelinstr. 1,Rheinland-Pfalz,
BNA0051,39249,Barby,Monplaisirstr. 22,Sachsen-Anhalt,-
BNA0059b,34225,Baunatal,,Hessen,
BNA1293a,50127,Bergheim,Kölner Straße 110,Nordrhein-Westfalen,K1/TG1
BNA1293b,50127,Bergheim,Kölner Straße 110,Nordrhein-Westfalen,K2/TG2
BNA1293c,50127,Bergheim,Kölner Straße 110,Nordrhein-Westfalen,K3+4/TG4
BNA0073,10179,Berlin,Köpenicker Straße 60,Berlin,GuD Mitte
BNA0075,12207,Berlin,Ostpreußendamm 61,Berlin,Lichterfelde 1
BNA0076,12207,Berlin,Ostpreußendamm 61,Berlin,Lichterfelde 3
BNA0088a,6406,Bernburg,,Sachsen-Anhalt,
BNA0100,33697,Bielefeld,,Nordrhein-Westfalen,GuD
BNA0105,6749,Bitterfeld,,Sachsen-Anhalt,
BNA0110,44799,Bochum,,Nordrhein-Westfalen,KBO
BNA0111,44805,Bochum,,Nordrhein-Westfalen,
BNA1524,29699,Bomlitz,"Industriepark Walsrode, 
August-Wolff-Str. 13",Niedersachsen,
BNA0129,14772,Brandenburg,,Brandenburg,
BNA0130,14774,Brandenburg,,Brandenburg,
BNA0140,28207,Bremen,Hastedter Osterdeich 255,Bremen,Block 14
BNA1334,28237,Bremen,Waterbergstraße 14,Bremen,"GT 1-3, DT"
BNA1820,28237,Bremen,,Bremen,GuD MiBÜ
BNA1671,26954,Bremerhaven,,Niedersachsen,
BNA1117,64747,Breuberg,Höchster Str. 48-60,Hessen,
BNA0156b,59929,Brilon ,Im Kissen 19,Nordrhein-Westfalen,Gasturbinen - KWK - Anlage
BNA0172a,84489,Burghausen,Johannes-Hess Straße 24,Bayern,
BNA0172b,84489,Burghausen,,Bayern,
BNA0174,84508,Burgkirchen,,Bayern,
BNA1487,64293,Darmstadt,Frankfurter Str. 100,Hessen,
BNA1127,84130,Dingolfing,Landshuter Straße 56,Bayern,GT1
BNA1128,84130,Dingolfing,Landshuter Straße 56,Bayern,GT2
BNA0202,44143,Dortmund,,Nordrhein-Westfalen,KDO
BNA1511a,52355,Düren,Kreuzauer Str. 18,Nordrhein-Westfalen,
BNA1131,52349,Düren,Veldener Strasse 121 - 131,Nordrhein-Westfalen,
BNA1511b,52355,Düren,Kreuzauer Str. 18,Nordrhein-Westfalen,
BNA0220,40221,Düsseldorf,Auf der Lausward 75,Nordrhein-Westfalen,AGuD
BNA0221a,40221,Düsseldorf,Auf der Lausward 75,Nordrhein-Westfalen,Block E GTE2
BNA0221b,40221,Düsseldorf,Auf der Lausward 75,Nordrhein-Westfalen,Block E GTE1
BNA0221c,40221,Düsseldorf,Auf der Lausward 75,Nordrhein-Westfalen,Block E
BNA1503,40476,Düsseldorf,Rather Str. 51,Nordrhein-Westfalen,
BNA1817,40221,Düsseldorf,Auf der Lausward 75,Nordrhein-Westfalen,GuD F
BNA0232c,89584,Ehingen,Kessel 6 - Turbine 4,Baden-Württemberg,
BNA0239,26931,Elsfleth,,Niedersachsen,
BNA0243,97483,Eltmann,Industriestraße 23,Bayern,
BNA0245a,26725,Emden,,Niedersachsen,Gasturbine
BNA0245b,26725,Emden,,Niedersachsen,Dampfturbine
BNA0255,99085,Erfurt,,Thüringen,
BNA0256a,99087,Erfurt,,Thüringen,
BNA0256b,99087,Erfurt,,Thüringen,Linie 3
BNA1138,40699,Erkrath,Klinkerweg 4,Nordrhein-Westfalen,"Module 1, 2 und 3"
BNA0261a,91052,Erlangen, Äußere Bruckerstr. 33,Bayern,GuD I
BNA0261c,91052,Erlangen, Äußere Bruckerstr. 33,Bayern,GuD 2
BNA1023,52249,Eschweiler-Weisweiler,,Nordrhein-Westfalen,G_VGT
BNA1024,52249,Eschweiler-Weisweiler,,Nordrhein-Westfalen,H_VGT
BNA1819,24939,Flensburg,Batteriestr. 48,Schleswig-Holstein,Block 12
BNA0285,60528,Frankfurt am Main,Lyoner Straße  8,Hessen,Block 1
BNA0286,60627,Frankfurt am Main,Gutleutstraße 231,Hessen,Block 4
BNA1541,9599,Freiberg,,Sachsen,
BNA0293,79108,Freiburg,,Baden-Württemberg,GuD Anlage
BNA1492a,36039,Fulda,Hermann-Muth-Str. 6,Hessen,
BNA1492b,36039,Fulda,Hermann-Muth-Str. 6,Hessen,
BNA0336,45896,Gelsenkirchen,,Nordrhein-Westfalen,
BNA0343,7546,Gera,Siemensstraße 45,Thüringen,
BNA0361,79639,Grenzach-Wyhlen,,Baden-Württemberg,
BNA0374,63538,Großkrotzenburg,,Hessen,4
BNA0386,33334,Gütersloh,Carl Bertelsmann Straße 161,Nordrhein-Westfalen,
BNA0389,58099,Hagen,,Nordrhein-Westfalen,H4/5
BNA0392a,6130,Halle,,Sachsen-Anhalt,Block A und B
BNA0392b,6130,Halle,,Sachsen-Anhalt,GuD
BNA0400,22113,Hamburg,Andreas-Meyer-Straße 8,Hamburg,GuD Tiefstack
BNA0401,21107,Hamburg,Nippoldstr. 117,Hamburg,HKW
BNA0410,59071,Hamm,Trianelstraße 1,Nordrhein-Westfalen,Block 10
BNA0411,59071,Hamm,Trianelstraße 1,Nordrhein-Westfalen,Block 20
BNA0418,30169,Hannover,,Niedersachsen,GKL
BNA0419,30419,Hannover,,Niedersachsen,B
BNA1810,30659,Hannover,Riethorst 12,Niedersachsen,
BNA1151,69120,Heidelberg,Neuenheimer Feld 530,Baden-Württemberg,
BNA0439,38350,Helmstedt,,Niedersachsen,D
BNA0442,58313,Herdecke,,Nordrhein-Westfalen,H6
BNA1463,37412,Herzberg,Andreasberger Str. 1,Niedersachsen,
BNA1499,31249,Hohenhameln,Zuckerfabrik 3,Niedersachsen,
BNA0464,31249,Hohenhameln OT Mehrum,,Niedersachsen,Block3
BNA0548a,50351,Hürth-Knapsack,,Nordrhein-Westfalen,
BNA0548b,50351,Hürth-Knapsack,,Nordrhein-Westfalen,
BNA0497,65926,Industriepark Höchst,,Hessen,
BNA0499,65926,Industriepark Höchst,,Hessen,Block A
BNA1164,52428,Jülich,Dürenerstr. 20,Nordrhein-Westfalen,Kessel 5
BNA0514,76189,Karlsruhe,Fettweisstraße 42,Baden-Württemberg,RDK 4S
BNA0521,34134,Kassel,,Hessen,
BNA1528,47906,Kempen,,Nordrhein-Westfalen,
BNA0544,50677,Köln,,Nordrhein-Westfalen,GuD
BNA0545,50735,Köln,,Nordrhein-Westfalen,GuD
BNA0546,50769,Köln,,Nordrhein-Westfalen,GuD
BNA1182,50769,Köln,,Nordrhein-Westfalen,Block 4
BNA1183,51109,Köln,,Nordrhein-Westfalen,GuD
BNA1818,50735,Köln,,Nordrhein-Westfalen,Niehl 31
BNA0556a,47809,Krefeld,Düsseldorfer Str. 191,Nordrhein-Westfalen,Dampfturbine
BNA0556b,47809,Krefeld,Düsseldorfer Str. 191,Nordrhein-Westfalen,Gasmotor (Dieselgenerator)
BNA1502,47804,Krefeld,,Nordrhein-Westfalen,
BNA1450,29331,Lachendorf,Georg-Drewsen-Weg 2,Niedersachsen,
BNA0574a,31628,Landesbergen,,Niedersachsen,Gasturbine
BNA1658,32657,Lemgo,Bruchweg 24,Nordrhein-Westfalen,
BNA1193,32657,Lemgo ,Liemer Weg 71,Nordrhein-Westfalen,
BNA1556,1454,Leppersdorf,An den Breiten,Sachsen,
BNA0592,6237,Leuna,,Sachsen-Anhalt,
BNA0593,6237,Leuna,,Sachsen-Anhalt,GT1
BNA0594,6237,Leuna,,Sachsen-Anhalt,GT2
BNA0595,6237,Leuna,,Sachsen-Anhalt,GT3
BNA0600a,51368,Leverkusen,"CHEMPARK, Geb. X 50",Nordrhein-Westfalen,
BNA0602,49811,Lingen,,Niedersachsen,C1
BNA0603,49811,Lingen,,Niedersachsen,B1
BNA0604,49811,Lingen,,Niedersachsen,B2
BNA0605,49811,Lingen,,Niedersachsen,C2
BNA0606,49811,Lingen,,Niedersachsen,D
BNA1509,49808,Lingen,Raffineriestrasse,Niedersachsen,
BNA1531,17509,Lubmin,,Mecklenburg-Vorpommern,
BNA0614a,67056,Ludwigshafen,A 855,Rheinland-Pfalz,GT 1
BNA0614b,67056,Ludwigshafen,A 800,Rheinland-Pfalz,"GUD A 800 
GT 11, GT 12, DT 10"
BNA0615,67056,Ludwigshafen,C 200,Rheinland-Pfalz,"GUD C 200
GT 1, GT 2, DT 1"
BNA1196a,67065,Ludwigshafen,Giulinistraße 2,Rheinland-Pfalz,BHKW 
BNA1196b,67065,Ludwigshafen,Giulinistr. 2,Rheinland-Pfalz,GuD
BNA0626,55120,Mainz,,Rheinland-Pfalz,KW3
BNA0627,55120,Mainz,,Rheinland-Pfalz,KW2
BNA1200,68305,Mannheim,,Baden-Württemberg,
BNA0658,45772,Marl,Paul-Baumann-Str. 1,Nordrhein-Westfalen,Block 311
BNA0659,45772,Marl,Paul-Baumann-Str. 1,Nordrhein-Westfalen,Block 312
BNA1676,45772,Marl,Paul-Baumann-Str. 1,Nordrhein-Westfalen,1
BNA0661,45772,Marl,Paul-Baumann-Str. 1,Nordrhein-Westfalen,Block 3
BNA1523a,56727,Mayen,Polcher Str. 113,Rheinland-Pfalz,"Block 1 (Kessel2, GT 1, DT 2)"
BNA1396,1468,Moritzburg,"Boxdorf, Ringstr. 3",Sachsen,EVC I
BNA0683a,81371,München,,Bayern,1
BNA0683b,81371,München,,Bayern,1
BNA0683c,81371,München,,Bayern,1
BNA0684a,81371,München,,Bayern,2
BNA0684b,81371,München,,Bayern,2
BNA0684c,81371,München,,Bayern,2
BNA1327a,85326,München,nicht öffentlicher Bereich (Btl. 145.01),Bayern,AGG1 -  AGG7
BNA1327b,85326,München,nicht öffentlicher Bereich (Btl. 145.01),Bayern,AGG8 - AGG9
BNA1678,85326,München,,Bayern,
BNA1406,41460,Neuss,Düsseldorfer Str. 182-184,Nordrhein-Westfalen,
BNA0702,93328,Neustadt,Postfach 1252,Bayern,
BNA1498,31171,Nordstemmen,Calenberger Str. 36,Niedersachsen,
BNA1402,49638,Nortrup,Hauptstrasse 15,Niedersachsen,
BNA0734,15806,Nunsdorf,,Brandenburg,GT E
BNA0738,15806,Nunsdorf,,Brandenburg,GT A
BNA0739,15806,Nunsdorf,,Brandenburg,GT B
BNA0740,15806,Nunsdorf,,Brandenburg,GT C
BNA0741,15806,Nunsdorf,,Brandenburg,GT D
BNA0742,90441,Nürnberg,Sandreuthstr. 51,Bayern,GuD 1
BNA0743,90441,Nürnberg,Sandreuthstr. 51,Bayern,GuD 2
BNA1444a,90471,Nürnberg,Breslauer Str. 300,Bayern,
BNA1444b,90471,Nürnberg,Breslauer Str. 300,Bayern,
BNA1444c,90471,Nürnberg,Breslauer Str. 300,Bayern,
BNA1444d,90471,Nürnberg,Breslauer Str. 300,Bayern,
BNA0752,46045,Oberhausen,,Nordrhein-Westfalen,HKW 1
BNA0753,46147,Oberhausen,,Nordrhein-Westfalen,HKW 2
BNA1467,77704,Oberkirch,Hauptstraße 2-4,Baden-Württemberg,
BNA0755a,63784,Obernburg,,Bayern,2
BNA0755b,63784,Obernburg,,Bayern,1
BNA1516,67283,Obrigheim,Wormser Straße 11,Rheinland-Pfalz,
BNA0804a,36269,Philippsthal,,Hessen,Hattorf
BNA0804b,36269,Philippsthal,,Hessen,Hattorf
BNA0805,94447,Plattling,,Bayern,
BNA0814,14478,Potsdam,,Brandenburg,Gesamtanlage
BNA1328,83064,Raubling,Rosenheimer Str. 37,Bayern,GUD
BNA1238,83512,Reitmehring,Megglestraße 6 - 12,Bayern,
BNA0832,72762,Reutlingen,Hauffstraße 89 m,Baden-Württemberg,Motorenanlage
BNA1408,79618,Rheinfelden,Untere Kanalstraße 3,Baden-Württemberg,
BNA0842a,83022,Rosenheim,Färberstraße 47,Bayern,Gasmotore 1-3
BNA0842b,83022,Rosenheim,Färberstraße 47,Bayern,Gasmotor 4
BNA0843,83026,Rosenheim,Oberaustraße 12,Bayern,Gasmotor 5
BNA0848,18069,Rostock,,Mecklenburg-Vorpommern,
BNA0857,65429,Rüsselheim,,Hessen,M120
BNA1464,66117,Saarbrücken,Untertürkheimer Straße 5,Saarland,
BNA0861b,66121,Saarbrücken,,Saarland,Kohleanlage
BNA1248a,86956,Schongau,Friedrich-Haindl-Strasse 10,Bayern,Dampfkraftwerk
BNA1248b,86956,Schongau,Friedrich-Haindl-Strasse 10,Bayern,HKW 3
BNA1486,6317,Seegebiet Mansfelder Land,Chausseestraße 1,Sachsen-Anhalt,
BNA1437,21683,Stade- Bützfleth,Johann- Rathje- Köser- Straße,Niedersachsen,GT 1/2
BNA0922,39418,Staßfurt,Athenslebener Weg 57,Sachsen-Anhalt,
BNA1403,29416,Steinitz,Bobbenmärsche 11 ,Sachsen-Anhalt,GUD
BNA0196,6682,Teuchern,,Sachsen-Anhalt,
BNA0957,72072,Tübingen,,Baden-Württemberg, -
BNA1500,29525,Uelzen,An der Zuckerfabrik 1,Niedersachsen,
BNA1271,36414,Unterbreizbach,,Thüringen,Unterbreizbach
BNA1335a,26316,Varel,Dangaster Straße 38,Niedersachsen,KWK-Blöcke
BNA1335b,26316,Varel,Dangaster Straße 38,Niedersachsen,Kondensationsturbine
BNA0994,85088,Vohburg,,Bayern,5
BNA0995,85088,Vohburg,,Bayern,4
BNA1002,6679,Wählitz,,Sachsen-Anhalt,
BNA1005,74399,Walheim,Mühlstraße,Baden-Württemberg,WAL 1
BNA1006,74399,Walheim,Mühlstraße,Baden-Württemberg,WAL 2
BNA1407,9600,Weißenborn,Fabrikstraße 1,Sachsen,
BNA1039,59368,Werne,,Nordrhein-Westfalen,F1
BNA1040,59368,Werne,,Nordrhein-Westfalen,G1
BNA1041,59368,Werne,,Nordrhein-Westfalen,H1
BNA1042,59368,Werne,,Nordrhein-Westfalen,I1
BNA1043,59368,Werne,,Nordrhein-Westfalen,I2
BNA1044,59368,Werne,,Nordrhein-Westfalen,F2
BNA1045,59368,Werne,,Nordrhein-Westfalen,G2
BNA1046b,59368,Werne,,Nordrhein-Westfalen,K1 
BNA1056,65203,Wiesbaden,,Hessen,Block 1
BNA1465b,37213,Witzenhausen,Kasseler Landstr. 23,Hessen,
BNA1504,76742,Woerth,Daimler Str. 1,Rheinland-Pfalz,
BNA1074,6766,Wolfen,,Sachsen-Anhalt,
BNA1677,38436,Wolfsburg,Berliner Ring,Niedersachsen,
BNA1076a,38436,Wolfsburg,,Niedersachsen,Block 1
BNA1076b,38436,Wolfsburg,,Niedersachsen,Block 2
BNA1284,67547,Worms,In der Hollerhecke 1,Rheinland-Pfalz,-
BNA1285,31515,Wunstorf,,Niedersachsen,Sigmundshall
BNA1082,42275,Wuppertal,,Nordrhein-Westfalen,Block 1
BNA1085,97080,Würzburg,Veitshöchheimer Str. 1,Bayern,TSIII
BNA1086,97080,Würzburg,Veitshöchheimer Str. 1,Bayern,TSII
BNA1087,97080,Würzburg,Veitshöchheimer Str. 1,Bayern,GTII
BNA1088,97080,Würzburg,Veitshöchheimer Str. 1,Bayern,GTI
BNA1089,39326,Zielitz,,Sachsen-Anhalt,Zielitz
BNA1097,53909,Zülpich,Bessenicher Weg,Nordrhein-Westfalen,K06
BNA1094,53910,Zülpich,Bessenicher Weg,Nordrhein-Westfalen,GKW
BNA1557,8056,Zwickau,Glauchauer Str. 40,Sachsen,
BNA0574b,31628,Landesbergen,,Niedersachsen,Dampfturbine
BNA1337a,63741,Aschaffenburg,Weichertstr. 7,Bayern,Heizkraftwerk
BNA0118,53121,Bonn,,Nordrhein-Westfalen,Heizkraftwerk Süd
BNA0812,32457,Porta Westfalica,,Nordrhein-Westfalen,2
BNA0913,2979,Spreetal,Südstraße,Sachsen,GuD
BNA0680,4613,Mumsdorf,,Sachsen-Anhalt,
BNA0059a,34225,Baunatal,,Hessen,Turbine 1
BNA0448,44652,Herne,,Nordrhein-Westfalen,
BNA0203,44357,Dortmund,,Nordrhein-Westfalen,C
BNA0933,70376,Stuttgart,Langwiesenweg 23,Baden-Württemberg,GAI GT 13
BNA0099,33649,Bielefeld,,Nordrhein-Westfalen,GT Ummeln
BNA0681,80807,München,,Bayern,1
BNA0682,80807,München,,Bayern,2
BNA0922a,39418,Staßfurt,Athenslebener Weg 57,Sachsen-Anhalt,
BNA0080,12207,Berlin,Ostpreußendamm 61,Berlin,Lichterfelde 2
BNA0735,15806,Nunsdorf,,Brandenburg,GT F
BNA0736,15806,Nunsdorf,,Brandenburg,GT G
BNA0737,15806,Nunsdorf,,Brandenburg,GT H
